sentence_id,words,labels,dataset
0,We,O,train
0,are,O,train
0,leaving,O,train
0,for,O,train
0,vacation,O,train
0,on,O,train
0,July,B-DATE,train
0,5th,I-DATE,train
0,.,O,train
1,The,O,train
1,seminar,O,train
1,was,O,train
1,held,O,train
1,on,O,train
1,June,B-DATE,train
1,15th,I-DATE,train
1,.,O,train
2,She,O,train
2,will,O,train
2,submit,O,train
2,the,O,train
2,report,O,train
2,by,O,train
2,Monday,B-DATE,train
2,.,O,train
3,I,O,train
3,was,O,train
3,born,O,train
3,on,O,train
3,February,B-DATE,train
3,"14,",I-DATE,train
3,1990,I-DATE,train
3,.,O,train
4,They,O,train
4,got,O,train
4,married,O,train
4,in,O,train
4,September,B-DATE,train
4,2010,I-DATE,train
4,.,O,train
5,Our,O,train
5,next,O,train
5,meeting,O,train
5,is,O,train
5,scheduled,O,train
5,for,O,train
5,Thursday,B-DATE,train
5,.,O,train
6,The,O,train
6,contract,O,train
6,ends,O,train
6,on,O,train
6,December,B-DATE,train
6,"31st,",I-DATE,train
6,2025,I-DATE,train
6,.,O,train
7,He,O,valid
7,arrived,O,valid
7,two,O,valid
7,days,O,valid
7,before,O,valid
7,today,B-DATE,valid
7,.,O,valid
8,She,O,test
8,will,O,test
8,return,O,test
8,on,O,test
8,July,B-DATE,test
8,10th,I-DATE,test
8,.,O,test
9,The,O,train
9,training,O,train
9,session,O,train
9,starts,O,train
9,next,O,train
9,Tuesday,B-DATE,train
9,.,O,train
10,I,O,train
10,graduated,O,train
10,in,O,train
10,2015,B-DATE,train
10,.,O,train
11,We,O,train
11,launched,O,train
11,the,O,train
11,app,O,train
11,in,O,train
11,November,B-DATE,train
11,2024,I-DATE,train
11,.,O,train
12,The,O,train
12,last,O,train
12,update,O,train
12,was,O,train
12,pushed,O,train
12,on,O,train
12,June,B-DATE,train
12,20th,I-DATE,train
12,.,O,train
13,She,O,test
13,is,O,test
13,planning,O,test
13,a,O,test
13,party,O,test
13,for,O,test
13,next,B-DATE,test
13,Sunday,I-DATE,test
13,.,O,test
14,He,O,train
14,will,O,train
14,travel,O,train
14,abroad,O,train
14,in,O,train
14,August,B-DATE,train
14,.,O,train
15,Their,O,train
15,anniversary,O,train
15,is,O,train
15,July,B-DATE,train
15,14th,I-DATE,train
15,.,O,train
16,I,O,train
16,will,O,train
16,be,O,train
16,busy,O,train
16,during,O,train
16,the,O,train
16,first,O,train
16,week,O,train
16,of,O,train
16,July,B-DATE,train
16,.,O,train
17,She,O,valid
17,attended,O,valid
17,the,O,valid
17,conference,O,valid
17,last,O,valid
17,Saturday,B-DATE,valid
17,.,O,valid
18,Our,O,train
18,project,O,train
18,deadline,O,train
18,is,O,train
18,in,O,train
18,July,B-DATE,train
18,.,O,train
19,We’ll,O,valid
19,finalize,O,valid
19,the,O,valid
19,design,O,valid
19,by,O,valid
19,the,B-DATE,valid
19,end,I-DATE,valid
19,of,I-DATE,valid
19,this,I-DATE,valid
19,week,I-DATE,valid
19,.,O,valid
20,The,O,test
20,event,O,test
20,was,O,test
20,announced,O,test
20,on,O,test
20,May,B-DATE,test
20,12th,I-DATE,test
20,.,O,test
21,My,O,train
21,next,O,train
21,appointment,O,train
21,is,O,train
21,on,O,train
21,Wednesday,B-DATE,train
21,.,O,train
22,We,O,train
22,celebrated,O,train
22,her,O,train
22,birthday,O,train
22,in,O,train
22,December,B-DATE,train
22,2024,I-DATE,train
22,.,O,train
23,The,O,train
23,report,O,train
23,was,O,train
23,finalized,O,train
23,last,O,train
23,Friday,B-DATE,train
23,.,O,train
24,Our,O,train
24,tickets,O,train
24,are,O,train
24,for,O,train
24,July,B-DATE,train
24,4th,I-DATE,train
24,.,O,train
25,She,O,train
25,left,O,train
25,two,O,train
25,weeks,O,train
25,before,O,train
25,today,B-DATE,train
25,.,O,train
26,We’re,O,train
26,launching,O,train
26,the,O,train
26,campaign,O,train
26,in,O,train
26,September,B-DATE,train
26,.,O,train
27,The,O,test
27,exhibition,O,test
27,begins,O,test
27,on,O,test
27,August,B-DATE,test
27,15,I-DATE,test
27,.,O,test
28,He,O,train
28,got,O,train
28,his,O,train
28,driver’s,O,train
28,license,O,train
28,in,O,train
28,March,B-DATE,train
28,2018,I-DATE,train
28,.,O,train
29,Their,O,train
29,child,O,train
29,was,O,train
29,born,O,train
29,in,O,train
29,November,B-DATE,train
29,2023,I-DATE,train
29,.,O,train
30,We,O,train
30,started,O,train
30,the,O,train
30,project,O,train
30,on,O,train
30,May,B-DATE,train
30,1st,I-DATE,train
30,.,O,train
31,The,O,train
31,museum,O,train
31,opened,O,train
31,in,O,train
31,1995,B-DATE,train
31,.,O,train
32,He,O,train
32,left,O,train
32,on,O,train
32,June,B-DATE,train
32,10th,I-DATE,train
32,.,O,train
33,We,O,train
33,had,O,train
33,dinner,O,train
33,together,O,train
33,last,O,train
33,Sunday,B-DATE,train
33,.,O,train
34,Their,O,train
34,wedding,O,train
34,is,O,train
34,planned,O,train
34,for,O,train
34,October,B-DATE,train
34,10th,I-DATE,train
34,.,O,train
35,I,O,train
35,received,O,train
35,the,O,train
35,email,O,train
35,on,O,train
35,June,B-DATE,train
35,25,I-DATE,train
35,.,O,train
36,We’ll,O,train
36,start,O,train
36,the,O,train
36,trip,O,train
36,next,O,train
36,Sunday,B-DATE,train
36,.,O,train
37,She,O,train
37,graduated,O,train
37,on,O,train
37,June,B-DATE,train
37,"28,",I-DATE,train
37,2019,I-DATE,train
37,.,O,train
38,The,O,test
38,system,O,test
38,will,O,test
38,be,O,test
38,offline,O,test
38,on,O,test
38,July,B-DATE,test
38,8th,I-DATE,test
38,.,O,test
39,I,O,train
39,saw,O,train
39,him,O,train
39,last,O,train
39,Thursday,B-DATE,train
39,.,O,train
40,Her,O,train
40,visa,O,train
40,expires,O,train
40,in,O,train
40,March,B-DATE,train
40,2026,I-DATE,train
40,.,O,train
41,They,O,train
41,left,O,train
41,early,O,train
41,in,O,train
41,the,O,train
41,morning,O,train
41,on,O,train
41,June,B-DATE,train
41,18,I-DATE,train
41,.,O,train
42,He,O,train
42,published,O,train
42,the,O,train
42,article,O,train
42,in,O,train
42,2024,B-DATE,train
42,.,O,train
43,We,O,train
43,will,O,train
43,host,O,train
43,the,O,train
43,workshop,O,train
43,on,O,train
43,July,B-DATE,train
43,15th,I-DATE,train
43,.,O,train
44,The,O,train
44,newsletter,O,train
44,was,O,train
44,sent,O,train
44,out,O,train
44,on,O,train
44,June,B-DATE,train
44,24,I-DATE,train
44,.,O,train
45,She,O,train
45,moved,O,train
45,here,O,train
45,in,O,train
45,January,B-DATE,train
45,2022,I-DATE,train
45,.,O,train
46,The,O,train
46,school,O,train
46,year,O,train
46,ends,O,train
46,on,O,train
46,July,B-DATE,train
46,20th,I-DATE,train
46,.,O,train
47,I,O,train
47,last,O,train
47,visited,O,train
47,them,O,train
47,in,O,train
47,August,B-DATE,train
47,2020,I-DATE,train
47,.,O,train
48,We’ll,O,train
48,check,O,train
48,in,O,train
48,on,O,train
48,July,B-DATE,train
48,9th,I-DATE,train
48,.,O,train
49,The,O,train
49,book,O,train
49,was,O,train
49,released,O,train
49,in,O,train
49,October,B-DATE,train
49,2021,I-DATE,train
49,.,O,train
50,She,O,train
50,joined,O,train
50,the,O,train
50,company,O,train
50,in,O,train
50,April,B-DATE,train
50,2017,I-DATE,train
50,.,O,train
51,The,O,train
51,results,O,train
51,will,O,train
51,be,O,train
51,published,O,train
51,by,O,train
51,July,B-DATE,train
51,12th,I-DATE,train
51,.,O,train
52,He,O,test
52,will,O,test
52,visit,O,test
52,us,O,test
52,on,O,test
52,Tuesday,B-DATE,test
52,.,O,test
53,The,O,train
53,form,O,train
53,must,O,train
53,be,O,train
53,submitted,O,train
53,before,O,train
53,Thursday,B-DATE,train
53,.,O,train
54,Their,O,train
54,house,O,train
54,was,O,train
54,completed,O,train
54,in,O,train
54,May,B-DATE,train
54,2020,I-DATE,train
54,.,O,train
55,We,O,train
55,left,O,train
55,for,O,train
55,the,O,train
55,airport,O,train
55,on,O,train
55,June,B-DATE,train
55,29th,I-DATE,train
55,.,O,train
56,The,O,train
56,deadline,O,train
56,is,O,train
56,approaching,O,train
56,on,O,train
56,Monday,B-DATE,train
56,.,O,train
57,She,O,train
57,checked,O,train
57,in,O,train
57,on,O,train
57,June,B-DATE,train
57,23,I-DATE,train
57,.,O,train
58,Our,O,train
58,lease,O,train
58,expires,O,train
58,in,O,train
58,August,B-DATE,train
58,.,O,train
59,He,O,train
59,was,O,train
59,hired,O,train
59,in,O,train
59,July,B-DATE,train
59,2013,I-DATE,train
59,.,O,train
60,We,O,train
60,left,O,train
60,the,O,train
60,city,O,train
60,on,O,train
60,June,B-DATE,train
60,12,I-DATE,train
60,.,O,train
61,Their,O,train
61,first,O,train
61,child,O,train
61,was,O,train
61,born,O,train
61,on,O,train
61,November,B-DATE,train
61,"1st,",I-DATE,train
61,2016,I-DATE,train
61,.,O,train
62,She,O,train
62,visited,O,train
62,us,O,train
62,two,O,train
62,days,O,train
62,after,O,train
62,today,B-DATE,train
62,.,O,train
63,The,O,train
63,library,O,train
63,reopened,O,train
63,in,O,train
63,February,B-DATE,train
63,2023,I-DATE,train
63,.,O,train
64,Classes,O,train
64,begin,O,train
64,on,O,train
64,July,B-DATE,train
64,14,I-DATE,train
64,.,O,train
65,I,O,train
65,moved,O,train
65,into,O,train
65,this,O,train
65,house,O,train
65,in,O,train
65,September,B-DATE,train
65,2021,I-DATE,train
65,.,O,train
66,The,O,valid
66,application,O,valid
66,opens,O,valid
66,in,O,valid
66,October,B-DATE,valid
66,.,O,valid
67,We’ll,O,train
67,go,O,train
67,hiking,O,train
67,next,O,train
67,Saturday,B-DATE,train
67,.,O,train
68,The,O,valid
68,update,O,valid
68,will,O,valid
68,be,O,valid
68,released,O,valid
68,on,O,valid
68,July,B-DATE,valid
68,11th,I-DATE,valid
68,.,O,valid
69,The,O,train
69,new,O,train
69,law,O,train
69,takes,O,train
69,effect,O,train
69,on,O,train
69,January,B-DATE,train
69,"1st,",I-DATE,train
69,2026,I-DATE,train
69,.,O,train
70,The,O,test
70,invitation,O,test
70,was,O,test
70,sent,O,test
70,on,O,test
70,Thursday,B-DATE,test
70,.,O,test
71,She’ll,O,train
71,begin,O,train
71,her,O,train
71,new,O,train
71,job,O,train
71,on,O,train
71,July,B-DATE,train
71,8th,I-DATE,train
71,.,O,train
72,We,O,test
72,last,O,test
72,met,O,test
72,in,O,test
72,May,B-DATE,test
72,.,O,test
73,He,O,train
73,plans,O,train
73,to,O,train
73,retire,O,train
73,in,O,train
73,January,B-DATE,train
73,2030,I-DATE,train
73,.,O,train
74,The,O,train
74,flight,O,train
74,departs,O,train
74,on,O,train
74,Wednesday,B-DATE,train
74,.,O,train
75,She,O,train
75,returned,O,train
75,from,O,train
75,Kenya,O,train
75,on,O,train
75,June,B-DATE,train
75,21st,I-DATE,train
75,.,O,train
76,The,O,train
76,festival,O,train
76,will,O,train
76,take,O,train
76,place,O,train
76,in,O,train
76,September,B-DATE,train
76,.,O,train
77,The,O,train
77,contract,O,train
77,starts,O,train
77,on,O,train
77,Tuesday,B-DATE,train
77,.,O,train
78,I,O,train
78,enrolled,O,train
78,in,O,train
78,university,O,train
78,in,O,train
78,2012,B-DATE,train
78,.,O,train
79,The,O,train
79,anniversary,O,train
79,falls,O,train
79,on,O,train
79,August,B-DATE,train
79,30th,I-DATE,train
79,.,O,train
80,She,O,train
80,was,O,train
80,born,O,train
80,in,O,train
80,April,B-DATE,train
80,"9,",I-DATE,train
80,1985,I-DATE,train
80,.,O,train
81,Our,O,train
81,family,O,train
81,reunion,O,train
81,is,O,train
81,on,O,train
81,July,B-DATE,train
81,13th,I-DATE,train
81,.,O,train
82,He,O,train
82,resigned,O,train
82,on,O,train
82,June,B-DATE,train
82,19th,I-DATE,train
82,.,O,train
83,They,O,train
83,will,O,train
83,move,O,train
83,out,O,train
83,in,O,train
83,July,B-DATE,train
83,.,O,train
84,The,O,train
84,appointment,O,train
84,was,O,train
84,made,O,train
84,last,O,train
84,Friday,B-DATE,train
84,.,O,train
85,She,O,train
85,submitted,O,train
85,her,O,train
85,application,O,train
85,on,O,train
85,June,B-DATE,train
85,17th,I-DATE,train
85,.,O,train
86,Their,O,train
86,summer,O,train
86,break,O,train
86,starts,O,train
86,next,B-DATE,train
86,Friday,I-DATE,train
86,.,O,train
87,The,O,train
87,play,O,train
87,premiered,O,train
87,in,O,train
87,May,B-DATE,train
87,2023,I-DATE,train
87,.,O,train
88,He,O,train
88,visited,O,train
88,last,O,train
88,Sunday,B-DATE,train
88,.,O,train
89,The,O,test
89,renewal,O,test
89,is,O,test
89,due,O,test
89,on,O,test
89,July,B-DATE,test
89,6,I-DATE,test
89,.,O,test
90,The,O,train
90,product,O,train
90,will,O,train
90,launch,O,train
90,on,O,train
90,August,B-DATE,train
90,1st,I-DATE,train
90,.,O,train
91,She,O,train
91,got,O,train
91,her,O,train
91,promotion,O,train
91,in,O,train
91,December,B-DATE,train
91,2024,I-DATE,train
91,.,O,train
92,We,O,train
92,left,O,train
92,for,O,train
92,Kigali,O,train
92,on,O,train
92,Friday,B-DATE,train
92,.,O,train
93,The,O,train
93,new,O,train
93,schedule,O,train
93,begins,O,train
93,next,B-DATE,train
93,Tuesday,I-DATE,train
93,.,O,train
94,They,O,train
94,finished,O,train
94,construction,O,train
94,in,O,train
94,July,B-DATE,train
94,2022,I-DATE,train
94,.,O,train
95,She,O,train
95,will,O,train
95,return,O,train
95,before,O,train
95,July,B-DATE,train
95,10,I-DATE,train
95,.,O,train
96,The,O,train
96,update,O,train
96,was,O,train
96,pushed,O,train
96,on,O,train
96,June,B-DATE,train
96,16th,I-DATE,train
96,.,O,train
97,He,O,train
97,left,O,train
97,for,O,train
97,London,O,train
97,on,O,train
97,June,B-DATE,train
97,25,I-DATE,train
97,.,O,train
98,The,O,valid
98,baby,O,valid
98,is,O,valid
98,due,O,valid
98,in,O,valid
98,November,B-DATE,valid
98,.,O,valid
99,She,O,train
99,joined,O,train
99,the,O,train
99,program,O,train
99,in,O,train
99,January,B-DATE,train
99,.,O,train
100,The,O,train
100,form,O,train
100,is,O,train
100,due,O,train
100,by,O,train
100,Thursday,B-DATE,train
100,.,O,train
101,We,O,train
101,moved,O,train
101,here,O,train
101,in,O,train
101,June,B-DATE,train
101,2020,I-DATE,train
101,.,O,train
102,The,O,train
102,repairs,O,train
102,started,O,train
102,on,O,train
102,June,B-DATE,train
102,11th,I-DATE,train
102,.,O,train
103,Their,O,test
103,next,O,test
103,visit,O,test
103,is,O,test
103,on,O,test
103,Monday,B-DATE,test
103,.,O,test
104,We,O,train
104,signed,O,train
104,the,O,train
104,deal,O,train
104,in,O,train
104,August,B-DATE,train
104,2024,I-DATE,train
104,.,O,train
105,The,O,train
105,event,O,train
105,is,O,train
105,scheduled,O,train
105,for,O,train
105,next,B-DATE,train
105,Saturday,I-DATE,train
105,.,O,train
106,She,O,train
106,will,O,train
106,be,O,train
106,back,O,train
106,from,O,train
106,leave,O,train
106,on,O,train
106,July,B-DATE,train
106,15th,I-DATE,train
106,.,O,train
107,The,O,train
107,bill,O,train
107,was,O,train
107,passed,O,train
107,in,O,train
107,October,B-DATE,train
107,2023,I-DATE,train
107,.,O,train
108,Their,O,train
108,twins,O,train
108,were,O,train
108,born,O,train
108,on,O,train
108,June,B-DATE,train
108,"6,",I-DATE,train
108,2022,I-DATE,train
108,.,O,train
109,We,O,test
109,held,O,test
109,the,O,test
109,workshop,O,test
109,in,O,test
109,early,B-DATE,test
109,June,I-DATE,test
109,.,O,test
110,He,O,train
110,will,O,train
110,arrive,O,train
110,on,O,train
110,Monday,B-DATE,train
110,.,O,train
111,The,O,valid
111,university,O,valid
111,was,O,valid
111,founded,O,valid
111,in,O,valid
111,1950,B-DATE,valid
111,.,O,valid
112,Our,O,train
112,next,O,train
112,deadline,O,train
112,is,O,train
112,Wednesday,B-DATE,train
112,.,O,train
113,The,O,train
113,last,O,train
113,day,O,train
113,of,O,train
113,the,O,train
113,course,O,train
113,is,O,train
113,July,B-DATE,train
113,19,I-DATE,train
113,.,O,train
114,I,O,valid
114,joined,O,valid
114,the,O,valid
114,team,O,valid
114,in,O,valid
114,April,B-DATE,valid
114,2023,I-DATE,valid
114,.,O,valid
115,We’ll,O,train
115,return,O,train
115,from,O,train
115,leave,O,train
115,on,O,train
115,July,B-DATE,train
115,14th,I-DATE,train
115,.,O,train
116,They,O,valid
116,booked,O,valid
116,their,O,valid
116,vacation,O,valid
116,in,O,valid
116,May,B-DATE,valid
116,.,O,valid
117,The,O,train
117,office,O,train
117,will,O,train
117,be,O,train
117,closed,O,train
117,on,O,train
117,July,B-DATE,train
117,4,I-DATE,train
117,.,O,train
118,She,O,valid
118,left,O,valid
118,last,O,valid
118,Tuesday,B-DATE,valid
118,.,O,valid
119,We,O,train
119,celebrated,O,train
119,his,O,train
119,birthday,O,train
119,on,O,train
119,June,B-DATE,train
119,13,I-DATE,train
119,.,O,train
120,He,O,train
120,will,O,train
120,start,O,train
120,his,O,train
120,new,O,train
120,job,O,train
120,on,O,train
120,July,B-DATE,train
120,7th,I-DATE,train
120,.,O,train
121,We,O,train
121,moved,O,train
121,into,O,train
121,the,O,train
121,house,O,train
121,on,O,train
121,October,B-DATE,train
121,"1st,",I-DATE,train
121,2019,I-DATE,train
121,.,O,train
122,Her,O,test
122,last,O,test
122,exam,O,test
122,is,O,test
122,scheduled,O,test
122,for,O,test
122,July,B-DATE,test
122,12th,I-DATE,test
122,.,O,test
123,The,O,train
123,campaign,O,train
123,launches,O,train
123,in,O,train
123,August,B-DATE,train
123,.,O,train
124,The,O,train
124,email,O,train
124,was,O,train
124,sent,O,train
124,on,O,train
124,Thursday,B-DATE,train
124,.,O,train
125,We,O,train
125,celebrated,O,train
125,New,O,train
125,Year’s,O,train
125,Eve,O,train
125,on,O,train
125,December,B-DATE,train
125,"31st,",I-DATE,train
125,2024,I-DATE,train
125,.,O,train
126,The,O,train
126,registration,O,train
126,period,O,train
126,ends,O,train
126,Thursday,B-DATE,train
126,.,O,train
127,Our,O,train
127,anniversary,O,train
127,is,O,train
127,in,O,train
127,September,B-DATE,train
127,.,O,train
128,He,O,train
128,arrived,O,train
128,back,O,train
128,in,O,train
128,town,O,train
128,on,O,train
128,Tuesday,B-DATE,train
128,.,O,train
129,The,O,train
129,new,O,train
129,law,O,train
129,comes,O,train
129,into,O,train
129,effect,O,train
129,on,O,train
129,January,B-DATE,train
129,"1st,",I-DATE,train
129,2026,I-DATE,train
129,.,O,train
130,They,O,train
130,visited,O,train
130,us,O,train
130,last,O,train
130,Sunday,B-DATE,train
130,.,O,train
131,The,O,train
131,renovation,O,train
131,will,O,train
131,be,O,train
131,done,O,train
131,by,O,train
131,July,B-DATE,train
131,15,I-DATE,train
131,.,O,train
132,The,O,train
132,newsletter,O,train
132,was,O,train
132,published,O,train
132,on,O,train
132,June,B-DATE,train
132,20th,I-DATE,train
132,.,O,train
133,The,O,train
133,software,O,train
133,release,O,train
133,is,O,train
133,planned,O,train
133,for,O,train
133,July,B-DATE,train
133,10,I-DATE,train
133,.,O,train
134,She,O,train
134,submitted,O,train
134,the,O,train
134,form,O,train
134,last,O,train
134,Monday,B-DATE,train
134,.,O,train
135,We,O,train
135,launched,O,train
135,our,O,train
135,product,O,train
135,in,O,train
135,November,B-DATE,train
135,2024,I-DATE,train
135,.,O,train
136,They,O,train
136,will,O,train
136,return,O,train
136,from,O,train
136,vacation,O,train
136,on,O,train
136,July,B-DATE,train
136,14th,I-DATE,train
136,.,O,train
137,I,O,train
137,started,O,train
137,my,O,train
137,business,O,train
137,in,O,train
137,2015,B-DATE,train
137,.,O,train
138,The,O,train
138,dog,O,train
138,was,O,train
138,adopted,O,train
138,in,O,train
138,April,B-DATE,train
138,2022,I-DATE,train
138,.,O,train
139,The,O,train
139,competition,O,train
139,is,O,train
139,on,O,train
139,Sunday,B-DATE,train
139,.,O,train
140,Our,O,valid
140,quarterly,O,valid
140,review,O,valid
140,is,O,valid
140,scheduled,O,valid
140,for,O,valid
140,July,B-DATE,valid
140,11,I-DATE,valid
140,.,O,valid
141,I’ll,O,train
141,be,O,train
141,out,O,train
141,of,O,train
141,town,O,train
141,until,O,train
141,Wednesday,B-DATE,train
141,.,O,train
142,They,O,train
142,graduated,O,train
142,together,O,train
142,in,O,train
142,June,B-DATE,train
142,2020,I-DATE,train
142,.,O,train
143,The,O,valid
143,museum,O,valid
143,exhibit,O,valid
143,starts,O,valid
143,in,O,valid
143,September,B-DATE,valid
143,.,O,valid
144,She,O,valid
144,visited,O,valid
144,Rwanda,O,valid
144,last,O,valid
144,Wednesday,B-DATE,valid
144,.,O,valid
145,The,O,train
145,theater,O,train
145,opens,O,train
145,again,O,train
145,in,O,train
145,July,B-DATE,train
145,.,O,train
146,We’ll,O,train
146,travel,O,train
146,to,O,train
146,Uganda,O,train
146,on,O,train
146,Friday,B-DATE,train
146,.,O,train
147,He,O,test
147,last,O,test
147,called,O,test
147,me,O,test
147,on,O,test
147,June,B-DATE,test
147,19th,I-DATE,test
147,.,O,test
148,Their,O,train
148,final,O,train
148,presentation,O,train
148,is,O,train
148,on,O,train
148,Tuesday,B-DATE,train
148,.,O,train
149,I,O,test
149,first,O,test
149,met,O,test
149,her,O,test
149,in,O,test
149,February,B-DATE,test
149,2017,I-DATE,test
149,.,O,test
150,The,O,train
150,policy,O,train
150,review,O,train
150,happens,O,train
150,every,O,train
150,December,B-DATE,train
150,.,O,train
151,She,O,valid
151,received,O,valid
151,her,O,valid
151,award,O,valid
151,on,O,valid
151,June,B-DATE,valid
151,17th,I-DATE,valid
151,.,O,valid
152,They’ll,O,train
152,join,O,train
152,the,O,train
152,program,O,train
152,starting,O,train
152,Tuesday,B-DATE,train
152,.,O,train
153,We’re,O,train
153,planning,O,train
153,the,O,train
153,event,O,train
153,for,O,train
153,July,B-DATE,train
153,13,I-DATE,train
153,.,O,train
154,The,O,train
154,new,O,train
154,building,O,train
154,opens,O,train
154,in,O,train
154,August,B-DATE,train
154,.,O,train
155,I,O,valid
155,returned,O,valid
155,home,O,valid
155,on,O,valid
155,Friday,B-DATE,valid
155,.,O,valid
156,The,O,valid
156,interview,O,valid
156,was,O,valid
156,scheduled,O,valid
156,for,O,valid
156,Wednesday,B-DATE,valid
156,.,O,valid
157,She,O,train
157,left,O,train
157,the,O,train
157,company,O,train
157,in,O,train
157,July,B-DATE,train
157,2023,I-DATE,train
157,.,O,train
158,The,O,train
158,last,O,train
158,workshop,O,train
158,took,O,train
158,place,O,train
158,in,O,train
158,October,B-DATE,train
